Repetition #1	Repetition #1	Repetition #1
2020-08-03 12:33:28.529071	2020-08-03 12:33:28.734817	0.205746
		0.20525
2020-08-03 12:33:28.745499	2020-08-03 12:33:28.950749	0.204963
		0.205054
2020-08-03 12:33:28.961526	2020-08-03 12:33:29.166489	0.205012
		0.204774
2020-08-03 12:33:29.177112	2020-08-03 12:33:29.382166	0.205018
		0.204882
2020-08-03 12:33:29.392807	2020-08-03 12:33:29.597819	0.205109
		0.225387
2020-08-03 12:33:29.608689	2020-08-03 12:33:29.813463	0.205364
		0.204888
2020-08-03 12:33:29.824067	2020-08-03 12:33:30.029085	0.204992
		0.20534
2020-08-03 12:33:30.039930	2020-08-03 12:33:30.244812	0.20463
		0.204692
2020-08-03 12:33:30.255370	2020-08-03 12:33:30.460479	0.205015
		0.206137
2020-08-03 12:33:30.471196	2020-08-03 12:33:30.696583	0.204863
		0.204946
2020-08-03 12:33:30.707281	2020-08-03 12:33:30.912645	0.204923
		0.205754
2020-08-03 12:33:30.923430	2020-08-03 12:33:31.128318	0.205325
		0.205691
2020-08-03 12:33:31.139188	2020-08-03 12:33:31.344180	0.205247
		0.205604
2020-08-03 12:33:31.354835	2020-08-03 12:33:31.560175	0.205434
		0.204871
2020-08-03 12:33:31.570881	2020-08-03 12:33:31.775511	0.205405
		0.205521
2020-08-03 12:33:31.786271	2020-08-03 12:33:31.990963	0.20571
		0.205797
2020-08-03 12:33:32.001603	2020-08-03 12:33:32.206618	0.205805
		0.205598
2020-08-03 12:33:32.217517	2020-08-03 12:33:32.423654	0.20555
		0.205384
2020-08-03 12:33:32.434345	2020-08-03 12:33:32.639208	0.205575
		0.205192
2020-08-03 12:33:32.650003	2020-08-03 12:33:32.854949	0.205279
		0.204979
2020-08-03 12:33:32.865542	2020-08-03 12:33:33.070465	0.205293
		0.205104
2020-08-03 12:33:33.081212	2020-08-03 12:33:33.286966	0.204746
		0.205535
2020-08-03 12:33:33.297871	2020-08-03 12:33:33.503196	0.205224
		0.204885
2020-08-03 12:33:33.514120	2020-08-03 12:33:33.719811	0.205192
		0.20484
2020-08-03 12:33:33.730462	2020-08-03 12:33:33.935709	0.205538
		0.205666
2020-08-03 12:33:33.946338	2020-08-03 12:33:34.151942	0.2054
		0.205642
2020-08-03 12:33:34.162863	2020-08-03 12:33:34.368297	0.205828
		0.205367
2020-08-03 12:33:34.378983	2020-08-03 12:33:34.583854	0.205495
		0.205272
2020-08-03 12:33:34.594676	2020-08-03 12:33:34.800081	0.20493
		0.205414
2020-08-03 12:33:34.810956	2020-08-03 12:33:35.016477	0.205347
		0.20587
